2024-12-13 10:50:35,588 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 10:53:04,192 - INFO - Conex�o estabelecida com ('127.0.0.1', 62994)
2024-12-13 10:53:04,192 - INFO - Clientes ativos: 1
2024-12-13 10:53:08,357 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:54:34,449 - INFO - Mensagem enviada para ('127.0.0.1', 62994): andrei
2024-12-13 10:54:57,239 - INFO - Mensagem recebida de ('127.0.0.1', 62994): andrei
2024-12-13 10:56:20,682 - INFO - Mensagem enviada para ('127.0.0.1', 62994): joia
2024-12-13 10:58:16,559 - INFO - Servidor iniciado e escutando na porta 5000...
2024-12-13 11:14:02,699 - INFO - Monitoramento: CPU 40.6% | Memória 71.4% | Clientes ativos 2
2024-12-13 11:14:07,705 - INFO - Monitoramento: CPU 27.0% | Memória 70.8% | Clientes ativos 2
2024-12-13 11:14:12,711 - INFO - Monitoramento: CPU 35.7% | Memória 71.1% | Clientes ativos 2
2024-12-13 11:14:17,714 - INFO - Monitoramento: CPU 67.6% | Memória 71.0% | Clientes ativos 2
2024-12-13 11:14:22,719 - INFO - Monitoramento: CPU 51.2% | Memória 71.2% | Clientes ativos 2
2024-12-13 11:14:27,722 - INFO - Monitoramento: CPU 42.3% | Memória 72.3% | Clientes ativos 2
2024-12-13 11:14:32,725 - INFO - Monitoramento: CPU 36.1% | Memória 73.2% | Clientes ativos 2
2024-12-13 11:14:37,729 - INFO - Monitoramento: CPU 28.0% | Memória 73.2% | Clientes ativos 2
2024-12-13 11:14:42,732 - INFO - Monitoramento: CPU 22.7% | Memória 71.0% | Clientes ativos 2
2024-12-13 11:14:47,738 - INFO - Monitoramento: CPU 28.0% | Memória 70.9% | Clientes ativos 2
2024-12-13 11:14:52,747 - INFO - Monitoramento: CPU 11.4% | Memória 71.1% | Clientes ativos 2
2024-12-13 11:14:57,756 - INFO - Monitoramento: CPU 40.7% | Memória 73.9% | Clientes ativos 2
2024-12-13 11:15:02,763 - INFO - Monitoramento: CPU 40.5% | Memória 74.3% | Clientes ativos 2
2024-12-13 11:15:07,771 - INFO - Monitoramento: CPU 29.3% | Memória 74.3% | Clientes ativos 2
2024-12-13 11:15:12,777 - INFO - Monitoramento: CPU 14.5% | Memória 74.4% | Clientes ativos 2
2024-12-13 11:15:17,780 - INFO - Monitoramento: CPU 24.7% | Memória 74.3% | Clientes ativos 2
2024-12-13 11:15:22,784 - INFO - Monitoramento: CPU 28.4% | Memória 74.4% | Clientes ativos 2
2024-12-13 11:15:27,789 - INFO - Monitoramento: CPU 29.4% | Memória 74.4% | Clientes ativos 2
2024-12-13 11:15:32,793 - INFO - Monitoramento: CPU 37.8% | Memória 72.3% | Clientes ativos 2
2024-12-13 11:15:37,796 - INFO - Monitoramento: CPU 8.4% | Memória 72.2% | Clientes ativos 2
2024-12-13 11:15:42,805 - INFO - Monitoramento: CPU 22.9% | Memória 72.0% | Clientes ativos 2
2024-12-13 11:15:47,810 - INFO - Monitoramento: CPU 38.1% | Memória 74.4% | Clientes ativos 2
2024-12-13 11:15:52,820 - INFO - Monitoramento: CPU 19.6% | Memória 74.2% | Clientes ativos 2
2024-12-13 11:15:57,824 - INFO - Monitoramento: CPU 14.3% | Memória 74.3% | Clientes ativos 2
2024-12-13 11:16:02,832 - INFO - Monitoramento: CPU 20.2% | Memória 74.2% | Clientes ativos 2
